fold,iteration,feature,importance
3,26,lcavol,0.3824448864743263
3,27,lcavol,0.09431630451083195
3,28,lcavol,0.4403113046166366
3,29,lcavol,0.4266913719279791
3,30,lcavol,0.48536555856333685
3,1,lweight,0.06924663672215048
3,2,lweight,0.14572754359037488
3,3,lweight,0.002139940902311621
3,4,lweight,-0.02626977208054504
3,5,lweight,0.08185721832722326
3,6,lweight,0.01385104353112232
3,7,lweight,0.06351433875722756
3,8,lweight,-0.021789838262097794
3,9,lweight,0.0267403910400259
3,10,lweight,0.09373126324634096
3,11,lweight,0.10988800362847662
3,12,lweight,0.0479433952917514
3,13,lweight,0.039318932315499655
3,14,lweight,-0.015351878656895357
3,15,lweight,0.12838276135719418
3,16,lweight,0.03690684634677999
3,17,lweight,0.09589954550214685
3,18,lweight,0.012172802372043323
3,19,lweight,0.012874680841737374
3,20,lweight,0.03109942634412055
3,21,lweight,0.09950823710887335
3,22,lweight,0.04226426541971806
3,23,lweight,0.05025803027483944
3,24,lweight,0.007524449637562602
3,25,lweight,0.1072393429653028
3,26,lweight,0.14072300201047072
3,27,lweight,0.05992746687879158
3,28,lweight,0.051083958720033906
3,29,lweight,0.023401471803778495
3,30,lweight,0.07537357508264964
3,1,age,0.05470990460478109
3,2,age,-0.008840371436463546
3,3,age,0.007298850483673736
3,4,age,0.03018902054281314
3,5,age,0.013683993067303168
3,6,age,0.010555087356829307
3,7,age,-0.02416881302914442
3,8,age,0.06515991683706501
3,9,age,0.018561176783342237
3,10,age,-0.043205407538848495
3,11,age,-0.02287539773262981
3,12,age,-0.018045034778436664
3,13,age,0.06771484433558184
3,14,age,0.023121356189516495
3,15,age,-0.013808668445648431
3,16,age,0.016848617563840373
3,17,age,-0.02854373468680771
3,18,age,0.03133735302191709
3,19,age,0.006558957208946281
3,20,age,0.019439612422222696
3,21,age,0.012787582602640124
3,22,age,0.011421974588402883
3,23,age,0.054282699188423544
3,24,age,-0.03317317298762301
3,25,age,0.053488272391576275
3,26,age,-0.02777366943486148
3,27,age,-0.0015252617292131898
3,28,age,0.009732555181501512
3,29,age,0.02683988329785858
3,30,age,0.01166007067065189
3,1,lbph,0.0036015998731784293
3,2,lbph,0.092639793401188
3,3,lbph,0.02363849795238171
3,4,lbph,-0.02589400375443751
3,5,lbph,0.04299596712494891
3,6,lbph,-0.07811855041185845
3,7,lbph,-0.030217024481772548
3,8,lbph,-0.08175490324273604
3,9,lbph,-0.016337263287519055
3,10,lbph,0.052699169317823036
3,11,lbph,0.033786644555371614
3,12,lbph,0.00020931269732682445
3,13,lbph,-0.0004324339369550234
3,14,lbph,-0.05821533805119883
3,15,lbph,0.05464520572630327
3,16,lbph,0.031914186150329815
3,17,lbph,0.05430820831975269
3,18,lbph,-0.05208782513514598
3,19,lbph,0.008794677240368087
3,20,lbph,-0.00900878856853693
3,21,lbph,0.05708361266732387
3,22,lbph,0.007931931199047337
3,23,lbph,0.02082665203465428
3,24,lbph,-0.013747341867751617
3,25,lbph,-0.009351546435019453
3,26,lbph,0.04571734741499989
3,27,lbph,0.032447297544097475
3,28,lbph,-0.04769212300330017
3,29,lbph,0.011711313090537856
3,30,lbph,0.007350158250344574
3,1,svi,0.1604187396032053
3,2,svi,0.07489466056389904
3,3,svi,0.05579196085553573
3,4,svi,0.10006688728448043
3,5,svi,-0.061894709231719025
3,6,svi,0.055877474715680275
3,7,svi,0.09433449585042797
3,8,svi,0.14326689566821582
3,9,svi,0.1311111746916066
3,10,svi,0.07154345656220307
3,11,svi,-0.048274324693636794
3,12,svi,0.06791401975966627
3,13,svi,0.07018184286948326
3,14,svi,0.0742385753163447
3,15,svi,0.08843559030876769
3,16,svi,0.07728515433818273
3,17,svi,0.07222722642604751
3,18,svi,0.10531888825471691
3,19,svi,0.11676409584957148
3,20,svi,-0.02390976503373543
3,21,svi,0.022644718191605073
3,22,svi,0.014736738663854831
3,23,svi,0.0014871331287270584
3,24,svi,0.07318845610542757
3,25,svi,-0.014383646879818968
3,26,svi,0.00524217905551061
3,27,svi,-0.07106392826675334
3,28,svi,0.07931594064516378
3,29,svi,-0.012724077750173812
3,30,svi,0.02755198743288867
3,1,lcp,0.01652075785528062
3,2,lcp,0.03736097505344871
3,3,lcp,0.04487920470807649
3,4,lcp,0.061224993730077615
3,5,lcp,0.07416540147017969
3,6,lcp,0.004681458393182791
3,7,lcp,0.0021903839884064302
3,8,lcp,0.01840948262625497
3,9,lcp,-0.012134260030283062
3,10,lcp,0.01530013080421222
3,11,lcp,0.03255191907766797
3,12,lcp,0.020867265877613006
3,13,lcp,0.05471295097750295
3,14,lcp,0.01769427691218839
3,15,lcp,-0.022954327694744925
3,16,lcp,0.006310984628524974
3,17,lcp,0.04264120371277691
3,18,lcp,0.028341092459978512
3,19,lcp,0.014857665854296154
3,20,lcp,0.054449337624874694
3,21,lcp,0.040036113680088525
3,22,lcp,0.06340766029970646
3,23,lcp,0.06083484722458454
3,24,lcp,0.002753691682326198
3,25,lcp,0.016259676143325796
3,26,lcp,-0.01973276567083526
3,27,lcp,0.0032090563170545927
3,28,lcp,0.013891317425749339
3,29,lcp,0.0368163881029927
3,30,lcp,0.05325715764831407
3,1,gleason,-0.0015766689677180201
3,2,gleason,-0.0043878690928842445
3,3,gleason,-0.004468044792947157
3,4,gleason,0.002070320655756075
3,5,gleason,-0.0006063966701209678
3,6,gleason,-0.00367682310235784
3,7,gleason,-0.00467749888484037
3,8,gleason,0.0006988458775806228
3,9,gleason,-0.004212445508236962
3,10,gleason,-0.004134373227139276
3,11,gleason,-0.007887744226973248
3,12,gleason,-0.003991285054346205
3,13,gleason,-0.00010619054879923429
3,14,gleason,-0.001419017697380176
3,15,gleason,-0.007493780915069026
3,16,gleason,-0.003687938166069493
3,17,gleason,-0.00028651838325932655
3,18,gleason,0.0008072265961861502
3,19,gleason,-0.003056118893102644
3,20,gleason,-0.0014234780457584861
3,21,gleason,-0.006116323198155027
3,22,gleason,-0.0007717231921233747
3,23,gleason,-0.0008213435670900715
3,24,gleason,-0.006579341226978563
3,25,gleason,-0.0037313913288958833
3,26,gleason,-0.0056872978794679785
3,27,gleason,-0.005714882404644017
3,28,gleason,-0.002510836739330058
3,29,gleason,0.0016020680816759558
3,30,gleason,-0.0037647568343122106
3,1,pgg45,0.026216030938690404
3,2,pgg45,0.02611663991689095
3,3,pgg45,0.01909143699752125
3,4,pgg45,0.004403550622070984
3,5,pgg45,-0.0028157913259618805
3,6,pgg45,0.016804549114075917
3,7,pgg45,0.0483794273512298
3,8,pgg45,0.013658906046011943
3,9,pgg45,0.02302634339664056
3,10,pgg45,0.04868856292333412
3,11,pgg45,0.03720607521342667
3,12,pgg45,0.016140550174669088
3,13,pgg45,0.015550796429790847
3,14,pgg45,0.01910559025198133
3,15,pgg45,0.06244009623185098
3,16,pgg45,0.021139832003275072
3,17,pgg45,0.00646351351200658
3,18,pgg45,0.02235454067964615
3,19,pgg45,0.026331369695454576
3,20,pgg45,-0.0016438515177533697
3,21,pgg45,0.03628772637038957
3,22,pgg45,0.002481930761550677
3,23,pgg45,0.008609436911805712
3,24,pgg45,0.02584357275053728
3,25,pgg45,0.022587928245534017
3,26,pgg45,0.04143465332824736
3,27,pgg45,0.0069243276008315036
3,28,pgg45,0.033374886185917996
3,29,pgg45,0.001376274137875666
3,30,pgg45,0.013356228103350576
4,1,lcavol,0.27389122660910237
4,2,lcavol,0.050072194099196166
4,3,lcavol,0.37669638333887623
4,4,lcavol,0.10780636493655982
4,5,lcavol,0.29486906532282153
4,6,lcavol,0.09539361382700717
4,7,lcavol,0.24380329276385815
4,8,lcavol,0.3258445455508433
4,9,lcavol,0.0814938929317569
4,10,lcavol,0.21665525389278006
4,11,lcavol,0.20686018889020252
4,12,lcavol,0.09310566069679915
4,13,lcavol,0.29917082466351175
