model,repeat,fold,n_test,r2,rmse,mae
Neural Network,3,3,19,0.0530048415346,0.960063570754,0.684465491472
Neural Network,3,4,19,0.587042382736,0.836339864267,0.612003349114
Neural Network,3,5,19,0.551359474463,0.777394799027,0.587480677278
Neural Network,4,1,20,-0.362760541485,1.25986900387,1.06865250601
Neural Network,4,2,20,-0.000260629159148,1.24953532649,1.03278341811
Neural Network,4,3,19,0.463220755312,0.690634070424,0.520908291258
Neural Network,4,4,19,0.383019629002,0.91645210664,0.693054428494
Neural Network,4,5,19,0.704598461219,0.637605606663,0.50834089367
Neural Network,5,1,20,-1.06948507921,1.52219765992,1.2001013993
Neural Network,5,2,20,0.433916054121,0.753741623352,0.584811295198
Neural Network,5,3,19,0.590382979895,0.84965599796,0.710955668861
Neural Network,5,4,19,0.445661943279,0.802115598614,0.631088735667
Neural Network,5,5,19,0.337369979481,0.875625597825,0.657182740931
Neural Network,6,1,20,0.211589426486,1.10575644197,0.860937787532
Neural Network,6,2,20,0.310221737768,0.910489168695,0.733610382159
Neural Network,6,3,19,0.67769299588,0.620101232749,0.468389546851
Neural Network,6,4,19,0.537870108864,0.698697149135,0.603640580716
Neural Network,6,5,19,0.192649209351,1.09231179719,0.898550175828
Neural Network,7,1,20,0.045321929558,1.03164173195,0.869937498814
Neural Network,7,2,20,0.596377421401,0.676118386852,0.549462052846
Neural Network,7,3,19,-0.749875147452,1.52117339809,1.0651597127
Neural Network,7,4,19,-0.0103499416722,1.05084001707,0.848955671486
Neural Network,7,5,19,0.0953323226049,1.18006284619,0.944064120247
Neural Network,8,1,20,0.633963115375,0.94971595945,0.734294992701
Neural Network,8,2,20,-0.152571213947,1.19453806121,0.887016616186
Neural Network,8,3,19,0.519866085918,0.717337120814,0.585665434831
Neural Network,8,4,19,-0.0902222678815,0.892316576175,0.71148766689
Neural Network,8,5,19,-0.0220812472488,0.947445750105,0.702539091918
Neural Network,9,1,20,0.0319213921198,1.20129154625,0.913624550498
Neural Network,9,2,20,0.0537018659874,0.957490860994,0.753419415959
Neural Network,9,3,19,0.291723582738,0.914711834478,0.710570258148
Neural Network,9,4,19,0.648127180759,0.770403144662,0.590977928759
Neural Network,9,5,19,-0.417567920136,1.2198749769,0.871897999461
Neural Network,10,1,20,0.502909587324,0.652641220011,0.530318476278
Neural Network,10,2,20,0.349951299047,0.756695216131,0.620446450397
Neural Network,10,3,19,0.273378408657,0.923746229703,0.776588397153
Neural Network,10,4,19,-0.362709813706,1.13430761721,0.91569747195
Neural Network,10,5,19,0.641537249121,0.932686081598,0.722812096756
